Datum,Tier,Individual,Body_mass,Geschlecht
15/10/09,14A Padenstedt,14A,25.5,m
26/10/09,14A Padenstedt,14A,38.5,m
04/11/09,14A Padenstedt,14A,38.5,m
23/11/09,14A Padenstedt,14A,34.5,m
15/01/10,14A Padenstedt,14A,35.5,m
20/01/10,14A Padenstedt,14A,35.5,m
08/02/10,14A Padenstedt,14A,34.5,m
17/02/10,14A Padenstedt,14A,35.5,m
18/03/10,14A Padenstedt,14A,38,m
05/05/10,14A Padenstedt,14A,33,m
15/10/09,14B Padenstedt,14B,20.5,w
26/10/09,14B Padenstedt,14B,29.5,w
04/11/09,14B Padenstedt,14B,28.5,w
23/11/09,14B Padenstedt,14B,25,w
18/01/10,14B Padenstedt,14B,17.5,w
30/01/10,14B Padenstedt,14B,30,w
30/01/10,14B Padenstedt,14B,30,w
30/01/10,14B Padenstedt,14B,30,w
08/02/10,14B Padenstedt,14B,29.5,w
15/02/10,14B Padenstedt,14B,29,w
23/02/10,14B Padenstedt,14B,28,w
18/03/10,14B Padenstedt,14B,,w
05/05/10,14B Padenstedt,14B,28,w
16/10/09,21 Padenstedt,21,28,w
26/10/09,21 Padenstedt,21,33.5,w
04/11/09,21 Padenstedt,21,34,w
23/11/09,21 Padenstedt,21,32,w
04/03/10,21 Padenstedt,21,27.5,w
05/05/10,21 Padenstedt,21,26,w
16/10/09, 23 Padenstedt,23,28,w
15/10/09,23 Padenstedt,23,29.5,w
26/10/09,23 Padenstedt,23,35,w
04/11/09,23 Padenstedt,23,36,w
20/11/09,23 Padenstedt,23,32.5,w
18/03/10,23 Padenstedt,23,,w
05/05/10,23 Padenstedt,23,23,w
18/10/09,38A Bebensee,38A,29.5,m
26/10/09,38A Bebensee,38A,32,m
04/11/09,38A Bebensee,38A,29,m
23/11/09,38A Bebensee,38A,30,m
18/01/10,38A Bebensee,38A,25,m
20/01/10,38A Bebensee,38A,26.5,m
08/02/10,38A Bebensee,38A,25,m
15/02/10,38A Bebensee,38A,25.5,m
18/03/10,38A Bebensee,38A,25,m
03/05/10,38A Bebensee,38A,22.5,m
18/10/09,38B Bebensee,38B,27,w
26/10/09,38B Bebensee,38B,28.5,w
04/11/09,38B Bebensee,38B,27,w
20/11/09,38B Bebensee,38B,28,w
15/02/10,38B Bebensee,38B,25,w
18/03/10,38B Bebensee,38B,23.5,w
03/05/10,38B Bebensee,38B,19,w
18/10/09,38C Bebensee,38C,18.5,m
26/10/09,38C Bebensee,38C,26.5,m
04/11/09,38C Bebensee,38C,25,m
20/11/09,38C Bebensee,38C,26,m
18/03/10,38C Bebensee,38C,17.5,m
03/05/10,38C Bebensee,38C,15,m
16/10/09,57 Bebensee,57,27,m
26/10/09,57 Bebensee,57,32,m
04/11/09,57 Bebensee,57,36.5,m
20/11/09,57 Bebensee,57,34,m
10/03/10,57 Bebensee,57,27.5,m
03/05/10,57 Bebensee,57,24.5,m
15/10/09,70 Bebensee,70,20,m
26/10/09,70 Bebensee,70,24.5,m
04/11/09,70 Bebensee,70,30,m
18/11/09,70 Bebensee,70,26.5,m
18/01/10,70 Bebensee,70,23.5,m
20/01/10,70 Bebensee,70,26.5,m
08/02/10,70 Bebensee,70,25.5,m
15/02/10,70 Bebensee,70,25.5,m
18/03/10,70 Bebensee,70,27,m
03/05/10,70 Bebensee,70,21.5,m
06/10/09,86 Thôrk,86,21,m
14/10/09,86 Thôrk,86,26.5,m
18/10/09,86 Thôrk,86,33.5,m
26/10/09,86 Thôrk,86,33,m
04/11/09,86 Thôrk,86,33.5,m
23/11/09,86 Thôrk,86,31,m
17/02/10,86 Thôrk,86,26,m
18/03/10,86 Thôrk,86,25,m
04/05/10,86 Thôrk,86,23,m
26/10/09,97A Thôrk,97A,25.5,w
04/11/09,97A Thôrk,97A,23,w
30/11/09,97A Thôrk,97A,28,w
12/02/10,97A Thôrk,97A,22.5,w
14/10/09,97B Thôrk,97B,28,m
26/10/09,97B Thôrk,97B,32,m
04/11/09,97B Thôrk,97B,27,m
30/11/09,97B Thôrk,97B,39.5,m
17/02/10,97B Thôrk,97B,29,m
18/03/10,97B Thôrk,97B,28,m
04/05/10,97B Thôrk,97B,24.5,m
16/10/09,98 Thôrk,98,30,m
26/10/09,98 Thôrk,98,35.5,m
04/11/09,98 Thôrk,98,36,m
20/11/09,98 Thôrk,98,37,m
17/02/10,98 Thôrk,98,31.5,m
18/03/10,98 Thôrk,98,34,m
04/05/10,98 Thôrk,98,32,m
11/10/11,HM 10,10,23,m
04/11/11,HM 10,10,28.5,m
21/11/11,HM 10,10,28,m
30/12/11,HM 10,10,29.5,m
23/01/12,HM 10,10,26.5,m
22/02/12,HM 10,10,26,m
19/03/12,HM 10,10,26.5,m
23/04/12,HM 10,10,20.5,m
02/05/12,HM 10,10,20.5,m
11/10/11,HM 11A,11A,28,m
10/11/11,HM 11A,11A,36,m
21/11/11,HM 11A,11A,34.5,m
30/12/11,HM 11A,11A,39.5,m
23/01/12,HM 11A,11A,38.5,m
22/02/12,HM 11A,11A,38,m
19/03/12,HM 11A,11A,41.5,m
23/04/12,HM 11A,11A,37,m
02/05/12,HM 11A,11A,37,m
11/10/11,HM 11B,11B,20,w
10/11/11,HM 11B,11B,26.5,w
21/11/11,HM 11B,11B,27,w
30/12/11,HM 11B,11B,28,w
23/01/12,HM 11B,11B,27.5,w
22/02/12,HM 11B,11B,26,w
19/03/12,HM 11B,11B,16.5,w
23/04/12,HM 11B,11B,35,w
02/05/12,HM 11B,11B,33,w
11/10/11,HM 12,12,22,m
04/11/11,HM 12,12,35.5,m
21/11/11,HM 12,12,32,m
30/12/11,HM 12,12,31.5,m
23/01/12,HM 12,12,31.5,m
22/02/12,HM 12,12,29.5,m
19/03/12,HM 12,12,27,m
23/04/12,HM 12,12,22.5,m
02/05/12,HM 12,12,25,m
24/10/11,HM 2,2,21.5,w
04/11/11,HM 2,2,27.5,w
21/11/11,HM 2,2,25,w
30/12/11,HM 2,2,27.5,w
23/01/12,HM 2,2,27.5,w
22/02/12,HM 2,2,27.5,w
19/03/12,HM 2,2,23.5,w
23/04/12,HM 2,2,20.5,w
02/05/12,HM 2,2,34,w
10/10/11,HM 22,22,20,m
04/11/11,HM 22,22,35.5,m
02/05/12,HM 22,22,38,m
21/11/11,HM 22,22,32,m
30/12/11,HM 22,22,33.5,m
23/01/12,HM 22,22,36,m
22/02/12,HM 22,22,37,m
19/03/12,HM 22,22,38,m
23/04/12,HM 22,22,40.5,m
02/05/12,HM 22,22,38,m
05/10/11,HM 2222,2222,22.5,w
14/10/11,HM 2222,2222,22.5,w
10/11/11,HM 2222,2222,26.5,w
03/05/12,HM 2222,2222,24,w
21/11/11,HM 2222,2222,24,w
30/12/11,HM 2222,2222,29.5,w
23/01/12,HM 2222,2222,27.5,w
22/02/12,HM 2222,2222,25.5,w
19/03/12,HM 2222,2222,24.5,w
23/04/12,HM 2222,2222,22,w
03/05/12,HM 2222,2222,24,w
06/10/11,HM 24A,24A,17,w
13/10/11,HM 24A,24A,20,w
04/11/11,HM 24A,24A,22,w
02/05/12,HM 24A,24A,20.5,w
21/11/11,HM 24A,24A,21.5,w
30/12/11,HM 24A,24A,24.5,w
23/01/12,HM 24A,24A,27,w
22/02/12,HM 24A,24A,25,w
19/03/12,HM 24A,24A,23.5,w
23/04/12,HM 24A,24A,21,w
02/05/12,HM 24A,24A,20.5,w
06/10/11,HM 24B,24B,21.5,w
13/10/11,HM 24B,24B,21.5,w
04/11/11,HM 24B,24B,31,w
10/11/11,HM 24B,24B,NA,w
21/11/11,HM 24B,24B,23,w
30/12/11,HM 24B,24B,21.5,w
23/01/12,HM 24B,24B,21,w
22/02/12,HM 24B,24B,19,w
19/03/12,HM 24B,24B,19,w
20/04/12,HM 24B,24B,11,w
11/10/11,HM 4,4,21.5,m
04/11/11,HM 4,4,33,m
21/11/11,HM 4,4,33,m
30/12/11,HM 4,4,33.5,m
23/01/12,HM 4,4,32.5,m
22/02/12,HM 4,4,31,m
19/03/12,HM 4,4,29,m
23/04/12,HM 4,4,36.5,m
02/05/12,HM 4,4,34,m
06/10/11,HM 64,64,17,m
13/10/11,HM 64,64,20,m
04/11/11,HM 64,64,28,m
02/05/12,HM 64,64,22.5,m
21/11/11,HM 64,64,25,m
30/12/11,HM 64,64,27,m
23/01/12,HM 64,64,26,m
22/02/12,HM 64,64,26,m
19/03/12,HM 64,64,23,m
23/04/12,HM 64,64,19.5,m
02/05/12,HM 64,64,21.5,m
06/10/11,HM 79,79,15,w
14/10/11,HM 79,79,20,w
04/11/11,HM 79,79,27.5,w
03/05/12,HM 79,79,20,w
21/11/11,HM 79,79,26,w
30/12/11,HM 79,79,23.5,w
23/01/12,HM 79,79,22.5,w
22/02/12,HM 79,79,22,w
19/03/12,HM 79,79,18.5,w
23/04/12,HM 79,79,17,w
03/05/12,HM 79,79,20,w
