Date,Time,date_and_time,Day,Month,Year,Hour,Minute,Ta_h_oxbox,MR_h,MR_g_h,Note_MR,energetic_state,Ti_iBut,Ta_iBut,Tskin_h,Note_Temp,Measurment_No,ID_individual,oxbox,Index
16.10.2009,21:00,16.10.2009 21:00,16,10,2009,21,0,5,15.86,0.79,shallow torpor,-1,8.7,5.1,-9999,kein Tskin vorhanden,1,HM 14A,1,31
16.10.2009,22:00,16.10.2009 22:00,16,10,2009,22,0,5.1,42.41,2.11,normotherm,1,10.2,5.6,-9999,kein Tskin vorhanden,1,HM 14A,1,32
16.10.2009,23:00,16.10.2009 23:00,16,10,2009,23,0,5.5,52.78,2.62,normotherm,1,9.2,6.1,-9999,kein Tskin vorhanden,1,HM 14A,1,33
17.10.2009,00:00,17.10.2009 00:00,17,10,2009,0,0,5.8,65.1,3.23,normotherm,1,9.2,6.1,-9999,kein Tskin vorhanden,1,HM 14A,1,34
17.10.2009,01:00,17.10.2009 01:00,17,10,2009,1,0,6.2,60.35,3,normotherm,1,8.7,6.6,-9999,kein Tskin vorhanden,1,HM 14A,1,35
17.10.2009,02:00,17.10.2009 02:00,17,10,2009,2,0,6.3,48.24,2.4,normotherm,1,8.7,6.6,-9999,kein Tskin vorhanden,1,HM 14A,1,36
17.10.2009,03:00,17.10.2009 03:00,17,10,2009,3,0,6.4,64.55,3.21,normotherm,1,8.7,6.1,-9999,kein Tskin vorhanden,1,HM 14A,1,37
17.10.2009,04:00,17.10.2009 04:00,17,10,2009,4,0,6,83.83,4.16,normotherm,1,8.7,5.6,-9999,kein Tskin vorhanden,1,HM 14A,1,38
17.10.2009,05:00,17.10.2009 05:00,17,10,2009,5,0,5.5,42.76,2.12,shallow torpor,-1,8.7,5.6,-9999,kein Tskin vorhanden,1,HM 14A,1,39
17.10.2009,06:00,17.10.2009 06:00,17,10,2009,6,0,5.1,32.44,1.61,shallow torpor,-1,8.2,5.1,-9999,kein Tskin vorhanden,1,HM 14A,1,40
17.10.2009,07:00,17.10.2009 07:00,17,10,2009,7,0,4.9,34.25,1.7,shallow torpor,-1,8.2,4.6,-9999,kein Tskin vorhanden,1,HM 14A,1,41
17.10.2009,08:00,17.10.2009 08:00,17,10,2009,8,0,4.6,32.2,1.6,shallow torpor,-1,7.7,4.6,-9999,kein Tskin vorhanden,1,HM 14A,1,42
17.10.2009,09:00,17.10.2009 09:00,17,10,2009,9,0,4.7,22.39,1.11,um arousal,-1,7.7,5.1,-9999,kein Tskin vorhanden,1,HM 14A,1,43
17.10.2009,10:00,17.10.2009 10:00,17,10,2009,10,0,5.1,17.07,0.85,shallow torpor,-1,7.7,6.1,-9999,kein Tskin vorhanden,1,HM 14A,1,44
17.10.2009,11:00,17.10.2009 11:00,17,10,2009,11,0,5.9,15.06,0.75,shallow torpor,-1,7.7,7.2,-9999,kein Tskin vorhanden,1,HM 14A,1,45
17.10.2009,12:00,17.10.2009 12:00,17,10,2009,12,0,6.7,45.22,2.25,normotherm,1,7.7,7.7,-9999,kein Tskin vorhanden,1,HM 14A,1,46
17.10.2009,14:00,17.10.2009 14:00,17,10,2009,14,0,7.1,25.64,1.14,um arousal,-1,7.1,7.5,-9999,kein Tskin vorhanden,2,HM 14B,1,47
17.10.2009,15:00,17.10.2009 15:00,17,10,2009,15,0,7.7,17.44,0.78,shallow torpor?,-1,7.6,7.7,-9999,kein Tskin vorhanden,2,HM 14B,1,48
17.10.2009,16:00,17.10.2009 16:00,17,10,2009,16,0,7.6,16.86,0.76,shallow torpor?,-1,7.6,7.7,-9999,kein Tskin vorhanden,2,HM 14B,1,49
17.10.2009,17:00,17.10.2009 17:00,17,10,2009,17,0,7.4,16.06,0.72,shallow torpor?,-1,7.6,7.5,-9999,kein Tskin vorhanden,2,HM 14B,1,50
17.10.2009,18:00,17.10.2009 18:00,17,10,2009,18,0,7.4,15.61,0.7,shallow torpor?,-1,7.6,7.7,-9999,kein Tskin vorhanden,2,HM 14B,1,51
