Date,Time,date_and_time,Day,Month,Year,Hour,Minute,Ta_h_oxbox,MR_h,MR_g_h,Note_MR,energetic_state,Ti_iBut,Ta_iBut,Tskin_h,Note_Temp,Measurment_No,ID_individual,oxbox,Index
12.10.2011,19:00:20,12.10.2011 19:00,12,10,2011,19,0,12.8,71.04,3.12,normotherm,1,16.7,10.2,-9999,,4,HM 12,2,1
12.10.2011,20:00:20,12.10.2011 20:00,12,10,2011,20,0,12,67.55,2.96,normotherm,1,16.7,9.1,-9999,,4,HM 12,2,2
12.10.2011,21:00:20,12.10.2011 21:00,12,10,2011,21,0,11.7,63.74,2.8,normotherm,1,16.7,8.6,-9999,,4,HM 12,2,3
12.10.2011,22:00:20,12.10.2011 22:00,12,10,2011,22,0,11.1,-9999,-9999,raus,-1,13.2,8.1,-9999,,4,HM 12,2,4
12.10.2011,23:00:20,12.10.2011 23:00,12,10,2011,23,0,10.7,-9999,-9999,raus,-1,12.2,7.1,-9999,,4,HM 12,2,5
13.10.2011,00:00:20,13.10.2011 00:00,13,10,2011,0,0,10.4,43.12,1.89,raus + rein,-1,11.7,6.6,-9999,,4,HM 12,2,6
13.10.2011,01:00:20,13.10.2011 01:00,13,10,2011,1,0,10,57.78,2.53,rein + raus,1,15.7,6.1,-9999,,4,HM 12,2,7
13.10.2011,02:00:20,13.10.2011 02:00,13,10,2011,2,0,10.2,13.88,0.61,raus + rein,-1,11.7,5.6,-9999,,4,HM 12,2,8
13.10.2011,03:00:20,13.10.2011 03:00,13,10,2011,3,0,10.1,92.54,4.06,normotherm,1,14.7,5.6,-9999,,4,HM 12,2,9
13.10.2011,04:00:20,13.10.2011 04:00,13,10,2011,4,0,9.7,85.97,3.77,normotherm,1,15.2,5.6,-9999,,4,HM 12,2,10
13.10.2011,05:00:20,13.10.2011 05:00,13,10,2011,5,0,9.5,86.94,3.81,normotherm,1,14.7,5.6,-9999,,4,HM 12,2,11
13.10.2011,06:00:20,13.10.2011 06:00,13,10,2011,6,0,9.4,89.38,3.92,normotherm,1,14.7,5.6,-9999,,4,HM 12,2,12
13.10.2011,07:00:20,13.10.2011 07:00,13,10,2011,7,0,9.3,91.92,4.03,normotherm,1,14.7,5.6,-9999,,4,HM 12,2,13
13.10.2011,08:00:20,13.10.2011 08:00,13,10,2011,8,0,9.1,64.18,2.82,normotherm,1,14.7,5.1,-9999,,4,HM 12,2,14
13.10.2011,09:00:20,13.10.2011 09:00,13,10,2011,9,0,9.3,20.56,0.9,um arousal,-1,13.7,4.6,-9999,,4,HM 12,2,15
13.10.2011,10:00:20,13.10.2011 10:00,13,10,2011,10,0,10.1,9.34,0.41,um arousal,-1,12.2,5.6,-9999,,4,HM 12,2,16
13.10.2011,11:00:20,13.10.2011 11:00,13,10,2011,11,0,10.8,4.77,0.21,torpor,0,11.2,7.1,-9999,,4,HM 12,2,17
13.10.2011,12:00:20,13.10.2011 12:00,13,10,2011,12,0,11.6,2.09,0.09,torpor,0,10.7,8.6,-9999,,4,HM 12,2,18
13.10.2011,13:00:20,13.10.2011 13:00,13,10,2011,13,0,12.1,4.68,0.21,torpor,0,10.7,9.6,-9999,,4,HM 12,2,19
13.10.2011,14:00:20,13.10.2011 14:00,13,10,2011,14,0,12.7,132.54,5.81,arousal,1,10.7,10.7,-9999,,4,HM 12,2,20
13.10.2011,15:00:20,13.10.2011 15:00,13,10,2011,15,0,13.2,73.49,3.22,normotherm,1,14.7,11.2,-9999,,4,HM 12,2,21
13.10.2011,16:00:20,13.10.2011 16:00,13,10,2011,16,0,14.1,72.35,3.17,normotherm,1,15.2,11.2,-9999,,4,HM 12,2,22
